                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                0.98945,                0.97348,                 1.2386,                 0.8889,                0.73021,                0.80667,                0.59475,                 1.2329,                  1.071,                 1.4572,             0.00038019,             0.00038019,             0.00038019
                     31,                0.97754,                0.97004,                 1.2357,                0.90164,                 0.7447,                0.84014,                0.58411,                 1.2345,                 1.0847,                  1.493,             0.00037499,             0.00037499,             0.00037499
                     32,                0.96115,                 0.9708,                  1.237,                0.81548,                0.76149,                 0.8197,                0.59412,                  1.247,                 1.1016,                  1.477,             0.00036978,             0.00036978,             0.00036978
                     33,                0.96626,                0.94218,                 1.2357,                0.89337,                0.74392,                0.81108,                 0.5828,                 1.2568,                 1.0728,                 1.4732,             0.00036457,             0.00036457,             0.00036457
                     34,                0.97677,                0.95577,                   1.24,                0.89052,                0.77452,                 0.8122,                0.59223,                 1.2284,                  1.044,                 1.4816,             0.00035936,             0.00035936,             0.00035936
                     35,                0.96577,                0.92379,                 1.2264,                0.89288,                0.74357,                0.83657,                0.60995,                  1.214,                 1.0204,                 1.4639,             0.00035416,             0.00035416,             0.00035416
                     36,                0.93805,                0.88718,                 1.2017,                0.90937,                 0.7792,                0.82605,                0.59816,                 1.2274,                0.98232,                 1.4674,             0.00034895,             0.00034895,             0.00034895
                     37,                0.92158,                0.87053,                  1.208,                0.87087,                0.76969,                0.82005,                 0.5961,                 1.2263,                 1.0336,                 1.4367,             0.00034374,             0.00034374,             0.00034374
                     38,                0.96178,                0.91525,                 1.2226,                0.83588,                0.78786,                0.85152,                0.61761,                  1.208,                 1.0244,                  1.439,             0.00033853,             0.00033853,             0.00033853
                     39,                0.94613,                0.90309,                 1.2083,                0.77675,                0.81484,                0.83935,                0.61401,                 1.1979,                 1.0088,                 1.4358,             0.00033333,             0.00033333,             0.00033333
                     40,                0.96153,                0.89211,                 1.2202,                0.75904,                0.82211,                0.82247,                0.59548,                 1.2036,                 1.0309,                 1.4292,             0.00032812,             0.00032812,             0.00032812
                     41,                0.93765,                0.87303,                 1.2029,                0.75546,                0.81804,                 0.8394,                0.59715,                 1.2134,                 1.0127,                 1.4338,             0.00032291,             0.00032291,             0.00032291
                     42,                0.91261,                0.85158,                 1.2011,                0.85208,                   0.77,                 0.8368,                0.59198,                 1.1824,                 1.0506,                 1.4017,              0.0003177,              0.0003177,              0.0003177
                     43,                0.90971,                0.84002,                 1.1945,                0.86485,                0.72209,                0.79915,                0.57469,                   1.19,                 1.0287,                 1.4236,              0.0003125,              0.0003125,              0.0003125
                     44,                0.90636,                0.84194,                  1.185,                0.89135,                0.75967,                0.80062,                0.58168,                 1.2193,                0.99651,                 1.4672,             0.00030729,             0.00030729,             0.00030729
                     45,                0.89138,                0.81342,                  1.179,                0.81263,                0.83155,                0.84127,                0.61533,                 1.2084,                0.97601,                 1.4529,             0.00030208,             0.00030208,             0.00030208
                     46,                0.90354,                0.81919,                 1.1837,                0.87768,                0.78319,                0.82475,                0.59703,                 1.1935,                0.99428,                 1.4373,             0.00029687,             0.00029687,             0.00029687
                     47,                0.89051,                0.82126,                   1.18,                0.83723,                0.76386,                0.84178,                0.61101,                 1.2068,                 1.0055,                 1.4334,             0.00029167,             0.00029167,             0.00029167
                     48,                0.88882,                0.79379,                 1.1752,                0.88899,                0.75652,                0.81234,                0.59348,                 1.2332,                0.96764,                  1.478,             0.00028646,             0.00028646,             0.00028646
                     49,                0.88096,                0.79121,                  1.165,                0.73597,                0.84063,                0.82839,                0.61579,                 1.1936,                0.97678,                 1.4248,             0.00028125,             0.00028125,             0.00028125
                     50,                0.88545,                0.78613,                 1.1702,                0.85406,                0.82518,                0.85393,                0.62113,                 1.1877,                0.96239,                 1.4463,             0.00027604,             0.00027604,             0.00027604
                     51,                0.87228,                0.78172,                 1.1691,                0.85779,                0.75244,                0.84832,                0.62297,                 1.2092,                 1.0048,                 1.4366,             0.00027084,             0.00027084,             0.00027084
                     52,                0.86408,                0.76515,                 1.1578,                0.80975,                0.83285,                0.83854,                 0.6094,                 1.2167,                0.97486,                 1.4683,             0.00026563,             0.00026563,             0.00026563
                     53,                0.85645,                0.75849,                 1.1557,                0.90084,                0.79205,                0.85529,                0.62051,                 1.2014,                0.93708,                 1.4259,             0.00026042,             0.00026042,             0.00026042
                     54,                0.84447,                0.73361,                  1.149,                0.85284,                0.79054,                0.84196,                0.61217,                 1.1805,                0.94188,                 1.4136,             0.00025522,             0.00025522,             0.00025522
                     55,                0.87835,                0.78019,                 1.1629,                0.87066,                0.74739,                 0.8202,                0.58605,                 1.2053,                0.99109,                   1.43,             0.00025001,             0.00025001,             0.00025001
                     56,                0.85962,                0.74691,                 1.1617,                0.83607,                0.82806,                0.84823,                0.61122,                 1.2171,                0.97111,                 1.4296,              0.0002448,              0.0002448,              0.0002448
                     57,                0.86136,                0.75745,                 1.1592,                0.82504,                0.78256,                0.81524,                0.59189,                 1.2068,                0.98266,                 1.4673,             0.00023959,             0.00023959,             0.00023959
                     58,                 0.8473,                0.73614,                  1.156,                0.92217,                0.75953,                0.84547,                0.62309,                 1.1867,                0.91049,                 1.4242,             0.00023439,             0.00023439,             0.00023439
                     59,                0.85083,                0.74757,                 1.1602,                 0.8716,                0.82863,                0.85964,                0.62942,                 1.1838,                0.92051,                 1.4082,             0.00022918,             0.00022918,             0.00022918
                     60,                0.82384,                0.73455,                   1.14,                0.85089,                0.76719,                0.82226,                0.61461,                 1.1634,                0.90017,                 1.4035,             0.00022397,             0.00022397,             0.00022397
                     61,                0.83377,                0.72208,                 1.1318,                0.89264,                0.80466,                0.85311,                0.62296,                 1.1998,                 0.9519,                 1.4281,             0.00021876,             0.00021876,             0.00021876
                     62,                0.82253,                0.70878,                 1.1474,                0.87519,                0.81186,                0.84739,                0.61476,                  1.192,                0.92087,                 1.4207,             0.00021356,             0.00021356,             0.00021356
                     63,                0.82107,                0.70452,                 1.1385,                0.94628,                0.74606,                0.81956,                0.62244,                 1.1533,                0.95929,                 1.3943,             0.00020835,             0.00020835,             0.00020835
                     64,                0.81874,                0.70136,                 1.1381,                0.91748,                0.74254,                0.83656,                0.60169,                 1.1661,                0.97266,                  1.409,             0.00020314,             0.00020314,             0.00020314
                     65,                0.80883,                0.70335,                 1.1356,                0.93903,                0.79103,                0.85586,                 0.6244,                 1.1784,                0.93714,                 1.4209,             0.00019793,             0.00019793,             0.00019793
                     66,                0.81949,                0.71709,                  1.133,                0.84069,                0.83585,                0.84719,                0.62697,                 1.1683,                0.92493,                 1.4344,             0.00019273,             0.00019273,             0.00019273
                     67,                0.80496,                0.68689,                 1.1256,                0.90321,                0.82334,                 0.8559,                0.62836,                 1.1676,                0.88982,                  1.398,             0.00018752,             0.00018752,             0.00018752
                     68,                0.80933,                0.69676,                 1.1302,                0.84273,                0.80855,                0.84475,                0.61794,                 1.2138,                0.91928,                 1.4514,             0.00018231,             0.00018231,             0.00018231
                     69,                0.80678,                0.69298,                 1.1323,                0.84578,                0.82131,                0.84647,                0.63072,                 1.1774,                 0.9062,                 1.4036,              0.0001771,              0.0001771,              0.0001771
                     70,                0.80804,                0.68926,                 1.1272,                0.93299,                0.77163,                0.85404,                0.63192,                 1.1852,                0.92134,                 1.4328,              0.0001719,              0.0001719,              0.0001719
                     71,                0.78379,                0.67104,                 1.1164,                0.85194,                0.80887,                0.84941,                0.63911,                 1.1913,                0.92284,                 1.4366,             0.00016669,             0.00016669,             0.00016669
                     72,                0.79531,                0.68382,                 1.1222,                0.83116,                0.82324,                0.84132,                0.62591,                 1.1811,                0.93387,                 1.4178,             0.00016148,             0.00016148,             0.00016148
                     73,                0.76716,                0.63308,                 1.1048,                0.78236,                0.82556,                0.83655,                0.62665,                 1.1766,                0.93368,                 1.4151,             0.00015627,             0.00015627,             0.00015627
                     74,                0.78115,                0.65865,                 1.1093,                0.91797,                0.76601,                0.85613,                0.63518,                 1.1544,                0.88677,                 1.4057,             0.00015107,             0.00015107,             0.00015107
                     75,                0.75145,                0.63879,                 1.0955,                0.86533,                0.82092,                0.85517,                0.63088,                 1.1403,                0.86857,                 1.3876,             0.00014586,             0.00014586,             0.00014586
                     76,                0.77262,                 0.6551,                 1.1158,                0.90761,                0.80491,                0.85781,                0.63787,                 1.1656,                0.89866,                 1.4119,             0.00014065,             0.00014065,             0.00014065
                     77,                0.78524,                0.66421,                 1.1085,                  0.878,                0.82285,                0.86309,                0.64485,                 1.1408,                0.87163,                 1.3943,             0.00013544,             0.00013544,             0.00013544
                     78,                0.76286,                0.63944,                 1.0935,                0.90462,                 0.8046,                0.85968,                0.64392,                 1.1433,                0.90922,                  1.398,             0.00013024,             0.00013024,             0.00013024
                     79,                0.76743,                0.63546,                 1.1079,                0.88322,                0.81911,                0.85282,                0.64151,                 1.1557,                0.88451,                  1.411,             0.00012503,             0.00012503,             0.00012503
                     80,                0.76196,                0.64765,                 1.0987,                0.90619,                0.81354,                0.85453,                0.64223,                 1.1461,                  0.872,                  1.409,             0.00011982,             0.00011982,             0.00011982
                     81,                0.75677,                0.62076,                 1.0932,                0.87634,                0.78449,                0.85036,                0.63725,                 1.1789,                0.92739,                 1.4253,             0.00011462,             0.00011462,             0.00011462
                     82,                0.75623,                0.64215,                 1.1032,                0.83754,                 0.8276,                0.84931,                0.62831,                 1.1685,                0.89936,                 1.4283,             0.00010941,             0.00010941,             0.00010941
                     83,                0.75123,                0.62398,                 1.0914,                0.92487,                0.79311,                0.85716,                0.63667,                 1.1403,                0.86901,                 1.4012,              0.0001042,              0.0001042,              0.0001042
                     84,                0.74497,                0.61437,                 1.0875,                  0.907,                0.81192,                0.85628,                0.63972,                 1.1393,                0.90174,                 1.3973,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     85,                0.74922,                0.62086,                 1.0952,                0.90754,                0.81071,                0.85987,                 0.6394,                 1.1458,                0.88009,                 1.3951,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     86,                0.74132,                0.61382,                 1.0887,                0.85395,                0.81701,                0.85501,                0.63017,                 1.1559,                0.88477,                  1.411,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     87,                0.71693,                0.60168,                 1.0786,                 0.8726,                0.82632,                0.86461,                0.64038,                 1.1308,                0.87782,                 1.3864,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     88,                0.71783,                0.59372,                 1.0798,                0.87834,                0.80272,                0.85043,                0.63377,                  1.166,                0.89712,                 1.4019,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     89,                 0.7319,                0.61242,                  1.092,                0.91557,                0.80485,                0.85317,                0.63807,                 1.1402,                0.89513,                 1.3865,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     90,                0.71342,                0.59151,                   1.08,                0.89069,                0.81056,                0.85298,                0.64041,                 1.1554,                 0.8942,                 1.3943,             6.7749e-05,             6.7749e-05,             6.7749e-05
