                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2162,                 3.3712,                  1.411,                0.73316,                0.20277,                0.27703,                0.17447,                 1.1821,                 3.0261,                 1.4901,             0.00017296,             0.00017296,             0.00017296
                      2,                 1.2232,                 2.2347,                  1.438,                0.62961,                0.61128,                0.63824,                0.39042,                 1.3812,                 2.1493,                 1.6632,             0.00034485,             0.00034485,             0.00034485
                      3,                 1.2792,                  2.015,                 1.4693,                0.69911,                0.58074,                0.66542,                0.40741,                 1.3707,                 1.9886,                 1.6091,             0.00051326,             0.00051326,             0.00051326
                      4,                 1.2514,                 1.8841,                 1.4312,                0.71994,                0.60983,                 0.6851,                0.44579,                 1.3429,                 1.9142,                 1.5801,             0.00051038,             0.00051038,             0.00051038
                      5,                 1.2204,                 1.7765,                 1.4199,                0.63255,                0.63483,                0.68444,                0.43228,                 1.3695,                 2.0011,                 1.6391,             0.00051038,             0.00051038,             0.00051038
                      6,                 1.2121,                 1.6674,                  1.403,                0.78638,                0.60799,                0.69465,                0.40888,                 1.4278,                 1.9545,                 1.6432,             0.00050517,             0.00050517,             0.00050517
                      7,                 1.2132,                 1.6259,                 1.4081,                0.80755,                0.66335,                0.74146,                0.47916,                 1.4189,                 1.8618,                 1.6305,             0.00049996,             0.00049996,             0.00049996
                      8,                 1.2032,                 1.5446,                 1.3877,                 0.8019,                0.69814,                0.75444,                  0.483,                 1.3751,                 1.6765,                 1.6129,             0.00049476,             0.00049476,             0.00049476
                      9,                 1.1586,                 1.4861,                 1.3694,                 0.8557,                0.70512,                0.77391,                0.52331,                 1.3205,                 1.6228,                 1.5521,             0.00048955,             0.00048955,             0.00048955
                     10,                 1.1739,                 1.4702,                 1.3643,                0.74258,                0.63587,                0.69902,                0.44702,                 1.3515,                  1.671,                 1.6074,             0.00048434,             0.00048434,             0.00048434
                     11,                 1.1351,                 1.3794,                 1.3375,                0.79878,                0.70733,                0.75358,                0.50323,                 1.2999,                 1.6475,                 1.5456,             0.00047913,             0.00047913,             0.00047913
                     12,                 1.1245,                 1.3665,                 1.3454,                0.82974,                0.70159,                0.76832,                0.51959,                 1.3373,                 1.5168,                 1.5639,             0.00047393,             0.00047393,             0.00047393
                     13,                 1.1416,                 1.3267,                 1.3357,                0.75489,                0.73117,                 0.7672,                0.52498,                 1.2744,                 1.5253,                 1.5369,             0.00046872,             0.00046872,             0.00046872
                     14,                    1.1,                 1.3162,                 1.3289,                0.80007,                0.70292,                 0.7978,                0.55163,                 1.3255,                 1.3702,                 1.6013,             0.00046351,             0.00046351,             0.00046351
                     15,                 1.1121,                 1.2948,                 1.3328,                0.84582,                0.71438,                 0.7842,                0.54086,                 1.3048,                 1.3761,                 1.5386,              0.0004583,              0.0004583,              0.0004583
                     16,                 1.1183,                 1.2534,                 1.3215,                0.84186,                0.68571,                0.77024,                0.49634,                 1.3208,                 1.4701,                  1.625,              0.0004531,              0.0004531,              0.0004531
                     17,                 1.0849,                 1.2261,                 1.3124,                0.83344,                 0.7487,                0.78457,                0.54187,                 1.2811,                 1.3052,                 1.5591,             0.00044789,             0.00044789,             0.00044789
                     18,                 1.0931,                 1.1993,                 1.3163,                0.87591,                0.74264,                0.79566,                0.54245,                  1.318,                 1.2803,                  1.542,             0.00044268,             0.00044268,             0.00044268
                     19,                 1.0981,                 1.1941,                  1.313,                0.89049,                0.72745,                0.78688,                0.55233,                 1.2686,                 1.2849,                 1.4932,             0.00043747,             0.00043747,             0.00043747
                     20,                 1.0701,                 1.1298,                    1.3,                0.84318,                0.75494,                0.78835,                0.54981,                 1.3118,                 1.2565,                 1.5134,             0.00043227,             0.00043227,             0.00043227
                     21,                 1.0292,                 1.1242,                 1.2765,                0.82812,                0.71564,                0.77581,                0.53576,                 1.3225,                 1.2681,                 1.5428,             0.00042706,             0.00042706,             0.00042706
                     22,                 1.0387,                  1.122,                 1.2883,                0.88526,                0.74899,                0.81032,                   0.58,                 1.2277,                 1.1494,                 1.4688,             0.00042185,             0.00042185,             0.00042185
                     23,                 1.0296,                 1.0633,                 1.2642,                0.85785,                0.71143,                0.79967,                0.56796,                 1.2443,                 1.1724,                 1.4846,             0.00041664,             0.00041664,             0.00041664
                     24,                 1.0234,                 1.0632,                 1.2726,                0.88033,                0.74542,                0.81367,                0.58606,                 1.2836,                 1.2143,                 1.5016,             0.00041144,             0.00041144,             0.00041144
                     25,                 1.0155,                 1.0645,                 1.2697,                0.93211,                0.69351,                0.79053,                0.58198,                 1.2607,                 1.1448,                 1.5031,             0.00040623,             0.00040623,             0.00040623
                     26,                 1.0038,                 1.0444,                 1.2616,                0.88482,                0.74819,                0.81374,                0.57745,                   1.25,                 1.1514,                 1.5066,             0.00040102,             0.00040102,             0.00040102
                     27,                 1.0078,                 1.0327,                 1.2598,                0.86709,                0.74473,                0.81037,                0.57515,                 1.2305,                 1.1759,                 1.4597,             0.00039581,             0.00039581,             0.00039581
                     28,                 1.0248,                 1.0401,                 1.2603,                0.83645,                0.71628,                0.79691,                0.56703,                 1.2708,                 1.1496,                 1.4685,             0.00039061,             0.00039061,             0.00039061
                     29,                 0.9806,                0.98333,                 1.2433,                0.86066,                0.73148,                0.85762,                0.61535,                 1.2554,                 1.1137,                 1.4611,              0.0003854,              0.0003854,              0.0003854
