                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7549,                0.73404,                 1.0968,                0.90632,                0.79708,                0.86101,                0.65602,                 1.0698,                0.86711,                 1.3366,             0.00022421,             0.00022421,             0.00022421
                     36,                0.78618,                0.73613,                 1.1321,                0.89497,                0.81374,                0.88189,                0.67639,                 1.0812,                0.88465,                 1.3311,             0.00022091,             0.00022091,             0.00022091
                     37,                  0.752,                0.68028,                 1.0768,                0.89994,                0.82735,                0.88513,                0.68294,                 1.0412,                0.85945,                 1.2973,             0.00021762,             0.00021762,             0.00021762
                     38,                0.77172,                0.75391,                 1.0842,                0.89937,                0.79335,                0.85607,                 0.6711,                 1.0261,                0.82779,                 1.2829,             0.00021432,             0.00021432,             0.00021432
                     39,                0.74025,                0.69721,                 1.0843,                0.87804,                0.82493,                0.87407,                0.68828,                  1.048,                 0.8347,                 1.2894,             0.00021102,             0.00021102,             0.00021102
                     40,                0.75921,                0.68749,                 1.0807,                0.91234,                0.80883,                 0.8651,                0.69349,                 1.0264,                0.83467,                 1.2743,             0.00020773,             0.00020773,             0.00020773
                     41,                 0.7447,                0.65876,                 1.0757,                0.92597,                0.79849,                0.87997,                0.68064,                 1.0671,                0.84165,                 1.3154,             0.00020443,             0.00020443,             0.00020443
                     42,                0.73761,                0.67432,                 1.0767,                0.85601,                0.85528,                   0.89,                0.69105,                 1.0596,                0.83597,                 1.3034,             0.00020113,             0.00020113,             0.00020113
                     43,                0.76734,                0.66702,                 1.0958,                0.92579,                0.82065,                0.88607,                0.67905,                 1.0465,                0.85019,                 1.3074,             0.00019784,             0.00019784,             0.00019784
                     44,                0.72554,                0.65235,                 1.0687,                0.90191,                0.82118,                0.88531,                0.68294,                  1.066,                0.81613,                  1.304,             0.00019454,             0.00019454,             0.00019454
                     45,                0.73535,                0.65669,                 1.0687,                0.89311,                 0.8515,                0.89326,                0.69428,                 1.0409,                0.83968,                 1.2809,             0.00019124,             0.00019124,             0.00019124
